year,country,ISO,"Life expectancy at birth, total (years)",Population growth (annual %),"School enrollment, tertiary (% gross)",Internet Users(%),GDP per capita (current US$),"Inflation, consumer prices (annual %)"
2009,India,IND,66.513,1.39119493033754,16.0309295654297,5.119999886,1096.63613605864,10.8823529411765
2008,India,IND,66.149,1.42239150883577,15.0472097396851,4.380000114,993.503412459599,8.34926704907581
2007,India,IND,65.788,1.46637175001498,13.1266803741455,3.950000048,1022.73247550475,6.37288135593229
2006,India,IND,65.412,1.52430796041014,11.4863595962524,2.805499792,802.01374204738,5.79652337561635
2005,India,IND,64.996,1.60412916927926,10.6796398162842,2.388075113,710.509344850714,4.24634362031927
2004,India,IND,64.524,1.67281087022876,10.9332103729248,1.976136446,624.105094371897,3.7672517347751
2003,India,IND,64.094,1.72426903226703,10.6253700256348,1.68648994,543.843798893951,3.80585899528852
2002,India,IND,63.616,1.77676787418134,10.176420211792,1.537875533,468.84442830518,4.29715203929562
2001,India,IND,63.091,1.80844642123748,9.69449996948242,0.660146356,449.911124933268,3.77929312235641
2000,India,IND,62.669,1.82218400218023,9.50872039794922,0.527532458,442.034778917695,4.0094359104519
1999,India,IND,62.207,1.8493332514954,,0.273224264,440.961454614021,4.66982038037589
1998,India,IND,61.792,1.88755786468172,,0.139027327,412.509355760123,13.2308389767977
1997,India,IND,61.388,1.91926259528322,6.5457501411438,0.07076785,414.898683481559,7.16425211462723
1996,India,IND,60.984,1.95143550144522,6.26905012130737,0.046333976,399.577306551262,8.97715233826453
1995,India,IND,60.596,1.99187122902055,5.53655004501343,0.026228879,373.628233796392,10.2248861637545
1994,India,IND,60.216,2.02085601987654,,0.001069562,346.227393126043,10.2479355556119
1993,India,IND,59.815,2.04783736093956,,0.000218176,301.500786402084,6.32689048779867
1992,India,IND,59.452,2.07434424472354,,0.000111308,317.558734692935,11.7878170418135
1991,India,IND,59.055,2.10189105362679,6.02975988388062,0.0,303.850437957407,13.8702461773683
1990,India,IND,58.652,2.14114053890499,5.94715023040771,0.0,368.749759408129,8.97123250273256
1989,India,IND,58.233,2.16921748136657,5.74981021881104,0.0,347.46203694908,7.07428002942298
1988,India,IND,57.777,2.184281790986,5.53362989425659,0.0,355.738417959806,9.38347186185332
1987,India,IND,57.315,2.21094603012958,6.33130979537964,0.0,342.071923724964,8.80112581251833
1986,India,IND,56.835,2.23527124737904,5.98726987838745,0.0,312.059843944546,8.72972072702588
1985,India,IND,56.334,2.24836240132238,5.82862997055054,0.0,297.999256830726,5.55642423236555
1984,India,IND,55.816,2.26275505157058,5.85675001144409,0.0,278.095407433944,8.3189071186007
1983,India,IND,55.281,2.25868924622921,5.55459022521973,0.0,292.644658253572,11.8680812986734
1982,India,IND,54.732,2.26080777945204,4.9403600692749,0.0,275.26609786591,7.8907427937749
1981,India,IND,54.175,2.27589299161564,5.24741983413696,0.0,271.426155947875,13.112546897642
1980,India,IND,53.611,2.2612188534673,4.96351003646851,0.0,267.390578652535,11.3460734795094
1979,India,IND,53.06,2.22353406114706,4.95850992202759,,224.575437698719,6.27568336762338
1978,India,IND,52.492,2.21293517819365,4.9843602180481,,206.073749258556,2.52304875695182
1977,India,IND,51.909,2.20841658709872,4.83135986328125,,186.419095944098,8.30747009171162
1976,India,IND,51.388,2.20905061418648,4.96716022491455,,161.137236080759,-7.63394763392876
1975,India,IND,50.812,2.23845727724451,,,157.929385028241,5.74843029767432
1974,India,IND,50.244,2.25820438079867,,,163.231615579564,28.598734077509
1973,India,IND,49.539,2.25117630687251,4.98321008682251,,143.456124984427,16.9408159791736
1972,India,IND,49.025,2.22743096189467,,,122.612453445976,6.44209746158235
1971,India,IND,48.632,2.21700817584549,4.92460012435913,,118.160535251032,3.07993868406547
1970,India,IND,48.241,2.21018327712813,,,111.968318080332,5.09226161997544
1969,India,IND,47.857,2.2031572336638,,,107.182143049037,-0.584136610466297
1968,India,IND,47.471,2.16886163107629,,,99.5168360366295,3.23741242627508
1967,India,IND,45.674,2.12876735867267,,,96.0463297617622,13.0622024777969
1966,India,IND,45.333,2.15183776822664,,,89.7575826115815,10.8018483489341
1965,India,IND,44.98,2.23529958573103,,,119.082475942029,9.47475859170697
1964,India,IND,46.184,2.30119179559958,,,115.487608265464,13.3552611508153
1963,India,IND,45.936,2.30907889966126,,,101.315164901321,2.94616135685227
1962,India,IND,45.659,2.31168916319999,,,90.2768688575718,3.63221497106987
1961,India,IND,45.398,2.30470638074818,,,85.9697041171847,1.69521293914439
1960,India,IND,45.218,,,,83.0351017584916,1.77987784677379
2022,Philippines,PHL,,1.46331572990702,,,3498.50981598253,5.82115811213952
2021,Philippines,PHL,69.266,1.49455716704944,35.5221900939941,,3460.53940077621,3.92718022100326
2020,Philippines,PHL,72.119,1.62663290469171,33.365306854248,49.79999924,3224.4228110466,2.39316239316241
2019,Philippines,PHL,71.865,1.65518369204871,31.6224899291992,43.02661133,3413.8490672059,2.39206534422402
2018,Philippines,PHL,71.689,1.70024776555145,29.5474815368652,44.09999847,3194.67270414955,5.30934661627714
2017,Philippines,PHL,71.516,1.76102262001195,35.4754600524902,41.59999847,3077.43443152814,2.85318772590939
2016,Philippines,PHL,71.387,1.77382446993613,40.4158668518066,39.20000076,3038.15204593606,1.25369880080986
2015,Philippines,PHL,71.268,1.66983002094225,37.8000984191895,36.90000153,2974.29692047629,0.674192536845387
2014,Philippines,PHL,71.151,1.6168406041295,35.6268920898438,34.70000076,2935.9285781194,3.5978234386421
2013,Philippines,PHL,70.835,1.68695605708093,33.5227737426758,32.70000076,2847.56795417743,2.58268766141797
2012,Philippines,PHL,70.881,1.74352515093364,31.2064762115479,30.79999924,2671.77753848888,3.02696391124798
2011,Philippines,PHL,70.788,1.78165880217122,30.7960109710693,29.0,2431.19996489492,4.71841704718416
2010,Philippines,PHL,70.754,1.80164390376145,29.5638408660889,25.0,2201.77681934472,3.7898363479759
2009,Philippines,PHL,70.633,1.84004284987183,28.4896202087402,9.0,1893.28162262767,4.21903052064627
2008,Philippines,PHL,70.564,1.87043157688419,29.1591606140137,6.21999979,1990.35614640542,8.26044703595726
2007,Philippines,PHL,70.483,1.87034863111627,,5.96999979,1741.60350474062,2.90000000000002
2006,Philippines,PHL,70.282,1.88401982804789,27.842529296875,5.740586281,1452.22141963138,5.48523206751051
2005,Philippines,PHL,70.24,1.93575552038701,27.5180606842041,5.397636414,1245.28659123518,6.51685393258435
2004,Philippines,PHL,70.037,1.98712673013663,28.3604907989502,5.243628502,1122.85552849997,4.82921083627794
2003,Philippines,PHL,69.924,2.01831250528467,29.0721797943115,4.857672215,1049.38648817817,2.28915662650606
2002,Philippines,PHL,69.781,2.06267818983041,30.1790409088135,4.332275867,1037.17479446569,2.72277227722767
2001,Philippines,PHL,69.614,2.1168672092615,30.3505306243896,2.524005651,991.147982051369,5.3455019556714
